Parent category,Instantaneous behaviour,definition,,,
locomotion,foraging, Foraging for detritus and small organisms on mudflats or in shallow waters. Dactyl(s) is moving towards the mouth. ,,,
resting,burrowing, The crab is observed resting in its burrow. There are no conspecific interactions. ,,,
locomotion?,entering burrow, Actively entering an uninhabited burrow.,,,
locomotion?,exiting burrow, Actively exiting a burrow.,,,
locomotion?,maintaining burrow," Digging and excavating burrows, carrying sediment to/from the burrow entrance. ",,,
resting? ,protecting burrow," Standing over the entrance of a burrow, territorially (physical contact is a threat encounter). There do not have to be other crabs present to exhibit this behaviour; essentially, the crab is resting over the burrow entrance, usually with the dominant claw extended. ",,,
conspecific aggression,attacking burrow, An intruder crab is forcefully removing a burrow resident by establishing physical contact - such as pereopod pulling. ,,,
conspecific aggression,defending burrow,A burrow resident is being forcefully removed by an intruder via establishing physical contact - such as pereopod pulling. ,,,
,threat display, Males may use their claws to intimidate rivals in territorial disputes (agonistic).,,,
conspecific aggression,threat encounter,Physical contact among individuals (typically interlocking dominant claws) which does not occur above a burrow entrance. ,,,
,waving, Males raise and wave their larger claw to attract females or communicate with other males.,,,
,mating, Courtship rituals involving tactile contact. This includes mating (mounting) attempts. ,,,
locomotion,walking, Walking or running on the mudbank. ,,,
locomotion,swimming," The crab is fully submerged in the seawater. This includes remaining still (i.e., not ""swimming""), so long as the crab is entirely submerged. ",,,
locomotion,entering seawater, Actively entering the seawater (not foraging). ,,,
locomotion,exiting seawater, Actively exiting the seawater (not foraging). ,,,
resting,mudbank resting," Resting on the mudbank (not in seawater or above a burrow). Often claws are positioned for protection, stabalisation, or the crab is cleaning it's eyestalks and maxillipeds.",,,
resting,shoreline resting,"The crab is resting at the shoreline, where the waterline is approximately at mouth (maxilliped) height. The crab is not entirely submerged, foraging, nor exiting the seawater. Often claws are positioned for protection, stabalisation, or the crab is cleaning its eyestalks, maxillipeds, pereo- or pleopods.",,,
,moulting, Shedding old exoskeleton in a process called molting to allow growth. ,,,
locomotion,orientating,"Rotating the body in response to environmental cues, such as light and water levels, or a to protect the inhbitant's burrow against potential threat. This includes climbing up the crabitat wall to flip directions. ",,,
resting,bubbling,"Expelling CO2 gas bubbles from gills during respiration, to reach homeostasis in a changing environment.",,,
communication,tapping," Tapping on the substrate with (dominant) chelae, to vibrationally communicate with conspecifics.",,,
,NV," Not visible. Husbandry records confirm this crab�s presence, but it was not visible at this observation interval. This crab was most likely burrowing at this time, although it may also have been entirely submerged in the seawater deep end (out of sight, and did not appear in-frame at any point throughout the observation period). ",,,
